Series,Model,RMSE,MAE,MAPE%
price_1_unit,AutoARIMA,64114.723270711176,40025.57053148268,11.575891576865665
price_2_house,AutoARIMA,129938.32041682105,107236.35133833584,25.09752329232145
price_2_unit,AutoARIMA,132183.40752436462,94843.45661115907,18.40548989195288
price_3_house,AutoARIMA,161747.02601782393,129971.83739644366,21.22525178115153
price_3_unit,AutoARIMA,168739.82242198213,155755.3158665941,28.933057797278032
price_4_house,AutoARIMA,147155.9438933029,125230.8477663961,18.17100587478943
price_5_house,AutoARIMA,404891.8751704685,247424.12339160324,21.125316437938718
price_1_unit,RandomForest,49065.19520058227,25899.52965462661,7.6937849808778065
price_2_house,RandomForest,59231.32842849916,29332.851533473822,5.707370628747258
price_2_unit,RandomForest,62749.605917461886,42265.222572867446,9.286910915281318
price_3_house,RandomForest,111442.65099518087,80781.04561968913,12.368254444786306
price_3_unit,RandomForest,31619.83921335337,18072.812412785148,3.2082489856067404
price_4_house,RandomForest,68824.13891089163,54401.06915992082,7.322985079459936
price_5_house,RandomForest,210476.37201174666,102914.8559381683,9.773002801678638
price_1_unit,LightGBM,39577.47953505895,24686.793180520013,7.480488798804346
price_2_house,LightGBM,49210.91836364767,29376.962775639568,6.096447083043268
price_2_unit,LightGBM,53925.45162332196,39065.1252654802,8.77016087644361
price_3_house,LightGBM,108010.81003224733,78241.50800626917,11.76203693767959
price_3_unit,LightGBM,36730.28558039761,23583.71562342444,4.064823352398545
price_4_house,LightGBM,62961.34713038999,50067.0515928702,6.779786626767442
price_5_house,LightGBM,216807.17069693844,95904.10585471896,9.771805162258792
price_1_unit,XGBoost,41544.60583760153,24644.885780423283,7.647262982009123
price_2_house,XGBoost,47809.284220920854,27421.58424272487,5.618464770155757
price_2_unit,XGBoost,58503.82809867113,41143.58023148148,9.011671254646618
price_3_house,XGBoost,108102.3829312568,74787.42518187832,11.270350694549213
price_3_unit,XGBoost,32936.158644136936,20352.268468915347,3.4795218167271296
price_4_house,XGBoost,63586.8528647225,49726.90710978836,6.738414546410152
price_5_house,XGBoost,204912.94492440016,102690.22923280422,9.215551566988129
price_1_unit,LSTM,54481.81285000989,26511.850289351856,7.801763471224346
price_2_house,LSTM,64856.05566584237,32574.435069444433,6.363139855187165
price_2_unit,LSTM,76210.94510368243,50200.092824074076,10.46787994515581
price_3_house,LSTM,145602.55678680702,98404.48787477952,14.566646678068478
price_3_unit,LSTM,35593.89522843586,26447.143865740723,4.9700994213784595
price_4_house,LSTM,95522.67212975379,77346.36832010583,10.617997872572369
price_5_house,LSTM,205487.1215261992,103986.22212301588,9.049680645095354
